id,created_at,text
842732867767746560,2017-03-17 13:42:27,b'Jill and I -- and the whole Biden family -- wish everyone a very safe and happy St. Patrick\xe2\x80\x99s Day.'
842732706823917570,2017-03-17 13:41:49,"b'Like many other Irish Americans, I\xe2\x80\x99m proud of my Irish heritage and of my family\xe2\x80\x99s contributions to our nation.'"
842732625446010880,2017-03-17 13:41:29,"b'Last year I had the privilege of walking down the streets my great-great grandfather once walked, in County Louth,\xe2\x80\xa6 https://t.co/BHnCuA5x7E'"
841063269586612227,2017-03-12 23:08:04,"b'Today at #SxSW, we\xe2\x80\x99re laying out how we\xe2\x80\x99ll harness the momentum of the past year to make real progress. https://t.co/9nWDw27hhm'"
841062972378226688,2017-03-12 23:06:53,b'This fight is personal for Jill and me.  It\xe2\x80\x99s personal for almost every American.'
841062645990072321,2017-03-12 23:05:35,b'Jill and I were honored to take the stage today at #SxSW. Join us in seizing the urgency of now to end cancer as we\xe2\x80\xa6 https://t.co/ex3Ym2mMI1'
839532297212870656,2017-03-08 17:44:32,b'Standing up for women is the cause of my life. We must change our culture to end violence against women #IWD2017\nhttps://t.co/0t5nS9eGEW'
835616819780202496,2017-02-25 22:25:49,b'Congratulations @TomPerez - You will help ensure our party continues to fight for economic fairness and for all to be treated with dignity.'
828415338886942721,2017-02-06 01:29:42,b'Incredible performance from my friend @LadyGaga. You amaze me \xe2\x80\x94 and not just onstage. Proud to work with you to end\xe2\x80\xa6 https://t.co/2CNeRhivRC'
827283937000951808,2017-02-02 22:33:55,"b'Our tolerance and diversity make America great. We are safer and stronger when we welcome the brightest, best and b\xe2\x80\xa6 https://t.co/Q4jzAAlVKP'"
826828864009678850,2017-02-01 16:25:37,b'From fighting cancer to changing the culture on domestic violence \xe2\x80\x94 we\xe2\x80\x99re just getting started. Join us: https://t.co/QHaFokMnrZ'
826806724006965248,2017-02-01 14:57:38,b'We cannot yield an inch on all the progress we have made on civil rights and human rights.'
826806641370791936,2017-02-01 14:57:19,"b""Now more than ever, we must work hard to preserve everyone's shot at the American Dream. Today Jill &amp; I are proud to launch @BidenFoundation"""
796154714614337536,2016-11-09 00:57:30,"b""Folks, don't forget to stay in line! If you're in line when polls close, you're entitled to cast your ballot.\xe2\x80\xa6 https://t.co/T52wImGOup"""
796115818723549184,2016-11-08 22:22:56,b'There are world-class candidates running at all levels in this election. Vote down the line for Democrats who will\xe2\x80\xa6 https://t.co/NFHPRuPJM0'
